tracker_id,solo_KillDeathRatio,solo_WinRatio,solo_RoundsPlayed,solo_Wins,solo_WinTop10Ratio,solo_Top10s,solo_Top10Ratio,solo_Losses,solo_DamagePg,solo_HeadshotKillsPg,solo_HealsPg,solo_KillsPg,solo_MoveDistancePg,solo_TimeSurvivedPg,solo_Top10sPg,solo_Kills,solo_Assists,solo_HeadshotKillRatio,solo_AvgSurvivalTime
34359,0.54,0.48,1681,8,0.05,114,6.8,1673,76.92,0.1,1.37,0.54,2017.76,715.67,0.07,911,91,0.18,871.71
70832,1.37,0.71,1552,11,0.08,125,8.1,1541,155.33,0.23,1.34,1.36,1943.6,631.1,0.08,2106,87,0.17,466.83
77162,0.53,0.26,1545,4,0.02,98,6.3,1541,69.65,0.09,0.79,0.53,1537.46,655.3,0.06,823,58,0.16,470.44
41250,0.87,0.78,1541,12,0.11,130,8.4,1529,117.32,0.17,1.17,0.86,2033.91,806.88,0.08,1332,105,0.2,880.84
168294,0.5,0,1537,0,0,80,5.2,1537,67.11,0.14,1.4,0.5,2534.69,750.92,0.05,761,83,0.28,565.15
40939,1.65,1.59,1507,24,0.09,138,9.2,1483,191.68,0.34,1.93,1.63,1951.95,708.89,0.09,2454,104,0.21,787.23
54377,0.78,0.81,1474,12,0.03,205,13.9,1462,94.57,0.22,1.28,0.78,2909.54,827.36,0.14,1145,90,0.28,1130.8
84175,0.78,0.83,1443,12,0.04,173,12,1431,97.83,0.14,1.42,0.78,2225.25,833,0.12,1123,74,0.18,982.65
114682,0.58,0.35,1411,5,0.03,77,5.5,1406,77.02,0.1,0.81,0.58,2075.82,724.51,0.05,816,60,0.18,995.89
72763,1.32,3.22,1367,44,0.37,379,27.7,1323,166.33,0.37,0.99,1.28,4740.47,1112.8,0.28,1747,138,0.29,1243.95
139622,1.31,1.92,1353,26,0.16,165,12.2,1327,159.82,0.34,1.39,1.28,2172.42,726.57,0.12,1733,110,0.26,594.87
127858,1.17,0.79,1269,10,0.08,122,9.6,1259,149.36,0.19,1.08,1.16,3248.72,901.86,0.1,1470,103,0.17,901.86
59244,0.81,0.24,1249,3,0.04,67,5.4,1246,112.74,0.16,1.21,0.81,1650.29,602.13,0.05,1006,99,0.19,602.13
924,4.91,8.38,1229,103,0.53,185,15.1,1126,486.88,1.13,1.8,4.5,2053.82,683.13,0.15,5531,227,0.25,771.52
7276,2.74,5.06,1226,62,0.3,210,17.1,1164,301.89,0.55,1.84,2.6,3373.52,889.02,0.17,3185,166,0.21,889.02
43670,0.29,0.08,1214,1,0,144,11.9,1213,44.27,0.06,0.57,0.29,2428.08,867.49,0.12,354,43,0.21,886.31
99509,3.5,5.19,1213,63,0.24,263,21.7,1150,364.62,1.23,1.46,3.32,3786.18,937.72,0.22,4023,176,0.37,937.72
169204,0.58,0.43,1168,5,0.03,99,8.5,1163,73.53,0.12,0.9,0.57,2420.96,747.5,0.08,671,58,0.2,658.9
57628,1.03,0.34,1163,4,0.05,54,4.6,1159,123.03,0.25,0.97,1.02,1749.85,535.27,0.05,1188,71,0.25,598.03
93864,1.16,0.52,1163,6,0.09,85,7.3,1157,143.8,0.33,1,1.15,1706,591.68,0.07,1341,86,0.29,648.29
146188,1.6,1.17,1110,13,0.13,102,9.2,1097,186.04,0.29,1.11,1.58,1867.2,658.38,0.09,1750,84,0.19,723.81
59550,0.95,0.27,1105,3,0.02,85,7.7,1102,112.46,0.27,1.12,0.95,1650.92,667.5,0.08,1051,89,0.28,942.02
43378,0.6,0.37,1078,4,0.01,94,8.7,1074,74.42,0.08,0.55,0.6,1680.3,651.76,0.09,645,43,0.14,457.85
26958,0.6,0.65,1072,7,0.08,150,14,1065,77.88,0.09,1.06,0.59,2321.79,775.02,0.14,636,43,0.14,832.55
11436,0.81,0.47,1067,5,0.1,48,4.5,1062,104.94,0.15,1.1,0.81,1429.16,733.69,0.04,863,62,0.18,733.69
85623,3.13,4.59,1046,48,0.36,143,13.7,998,328.05,0.84,2.08,2.99,2561.89,707.24,0.14,3128,133,0.28,660.44
179871,0.86,0.29,1042,3,0.14,72,6.9,1039,102.82,0.13,1.3,0.86,1183.37,544.21,0.07,898,45,0.15,753.69
40876,0.27,0.48,1041,5,0.07,28,2.7,1036,31.87,0.08,0.34,0.27,672.7,894.43,0.03,280,24,0.31,969.9
